S No.,Language,Artist,Gender,Location,Local_Song_Index,Song  Name,Source,location_id,artist_id,gender_id,Emotion
32,Gujarati,Falguni Pathak,Female,Gujarat,2,Kaka bapa nawith nagin beats,https://www.youtube.com/watch?v=-vYmMY1ifNg,3,15,0,fear
33,Gujarati,Falguni Pathak,Female,Gujarat,3,Kesariyo Rang Tane Lagyo Amu Kaka Bapa Na,https://www.youtube.com/watch?v=rdDe6VWP-9s,3,15,0,netural
34,Gujarati,Falguni Pathak,Female,Gujarat,4,Mane Mavtar Made Tho Maa Amba Jeva Madjo,https://www.youtube.com/watch?v=Jl4xJ0JrzPk,3,15,0,angry
35,Gujarati,Falguni Pathak,Female,Gujarat,5,Dumbar Vagya Re Maana  Tu Toh Rajapara Pujani Re Maa  Khel Khel Re Bhawani Maa,https://www.youtube.com/watch?v=OEdi7yGkU_Q,3,15,0,happy
36,Gujarati,Geeta Rabari,Female,Gujarat,1,Dhol Nagada,https://www.youtube.com/watch?v=_ggGmwlWymY,3,17,0,sad
37,Gujarati,Geeta Rabari,Female,Gujarat,2,Rona Ser Ma,https://www.youtube.com/watch?v=35mYQ8bqp1A,3,17,0,fear
38,Gujarati,Geeta Rabari,Female,Gujarat,3,Tere Jaisha Yaar Kaha,https://www.youtube.com/watch?v=gGJ2QhIc98o,3,17,0,netural
39,Gujarati,Geeta Rabari,Female,Gujarat,4,Koni Pade Entry,https://www.youtube.com/watch?v=kAsl6jzj4uI,3,17,0,angry
40,Gujarati,Geeta Rabari,Female,Gujarat,5,Tara Vina Gamtu Nathi,https://www.youtube.com/watch?v=TO61mEHHoeQ,3,17,0,happy
41,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,1,Nako dev raya  sadhi maanase,https://youtu.be/5pyg-7mPo8Q?list=PLE7F1kOqK5KeJTSoOBB0cKxCLaa712QL9,7,22,1,sad
42,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,2,Tya Phoolanchya Gandh Koshi,https://www.youtube.com/watch?v=Gzfmk3oKiMM,7,22,1,fear
43,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,3,Laajun Hasane,https://www.youtube.com/watch?v=SD84K-KtheA,7,22,1,netural
44,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,4,Kevha tari pahate,https://youtu.be/Sl5k1DWU6Gk?list=PL81D73A683744E186,7,22,1,angry
45,Marathi,Hridaynath Mangeshkar,Male,Maharashtra,5,Jivalaga,https://youtu.be/rKmFFd2txAc,7,22,1,happy
46,Marathi,Milind Ingle,Male,Maharashtra,1,Gaarva,https://www.youtube.com/watch?v=fZ5Z1pn3HTs,7,35,1,sad
47,Marathi,Milind Ingle,Male,Maharashtra,2,Rimjhim Dhun,https://www.youtube.com/watch?v=cwV1edYqC0M,7,35,1,fear
48,Marathi,Milind Ingle,Male,Maharashtra,3,Gaar Vaara Ha Bharara,https://www.youtube.com/watch?v=23Yqx4fckus,7,35,1,netural
49,Marathi,Milind Ingle,Male,Maharashtra,4,Jhada Khali Baslele,https://www.youtube.com/watch?v=iCPeImbanew,7,35,1,angry
50,Marathi,Milind Ingle,Male,Maharashtra,5,Punha Pavsalach Sangayache,https://www.youtube.com/watch?v=UGqIKx4i2xk,7,35,1,happy
51,Marathi,Shridhar Phadke,Male,Maharashtra,1,Kahi Bolayache Aahe,https://www.youtube.com/watch?v=h_klpgRTHpc,7,53,1,sad
52,Marathi,Shridhar Phadke,Male,Maharashtra,2,Tula Pahile Mi,https://www.youtube.com/watch?v=02Bw5PKPOqs,7,53,1,fear
53,Marathi,Shridhar Phadke,Male,Maharashtra,3,Ek dhaaga sukhaacha,https://www.youtube.com/watch?v=iYWtcaKepI8,7,53,1,netural
54,Marathi,Shridhar Phadke,Male,Maharashtra,4,Phite Andharache Jale,https://www.youtube.com/watch?v=GKOEi9p_VaM,7,53,1,angry
55,Marathi,Shridhar Phadke,Male,Maharashtra,5,Mana Manaas Umagat Naahi,https://www.youtube.com/watch?v=Ikx26HFj_SM,7,53,1,happy
56,Marathi,Vaishali Samant,Female,Maharashtra,1,Angani Majhya,https://www.youtube.com/watch?v=c8olVjKGD7U,7,63,0,sad
57,Marathi,Vaishali Samant,Female,Maharashtra,2,Kusumita,https://www.youtube.com/watch?v=Whk4CUr9oBU,7,63,0,fear
58,Marathi,Vaishali Samant,Female,Maharashtra,3,Aabhas ha,https://www.youtube.com/watch?v=6bVLQVX96GQ,7,63,0,netural
59,Marathi,Vaishali Samant,Female,Maharashtra,4,Mera Dadla,https://www.youtube.com/watch?v=Ap3g5j1V8kc,7,63,0,angry
60,Marathi,Vaishali Samant,Female,Maharashtra,5,Aika Dajiba,https://youtu.be/4GowgfCbYmM?list=PLGpLqaMxppFr6rlBCS_mD29iouh41gDS8,7,63,0,happy
61,Konkani,Remo Fernandes,Male,Goa,1,Ya Ya Maya Ya,https://www.youtube.com/watch?v=khQ83TyK0Hw,2,46,1,sad
62,Konkani,Remo Fernandes,Male,Goa,2,Maria Pitache Barra de Damão,https://www.youtube.com/watch?v=xHikvvdXQEg,2,46,1,fear
63,Konkani,Remo Fernandes,Male,Goa,3,Meera Meera,https://www.youtube.com/watch?v=osOHCI6kxWk,2,46,1,netural
64,Konkani,Remo Fernandes,Male,Goa,4,Surganchi,https://www.youtube.com/watch?v=KkFIVpcQ28Y,2,46,1,angry
65,Konkani,Remo Fernandes,Male,Goa,5,Goan,https://www.youtube.com/watch?v=DoUyT5FqUE4,2,46,1,happy
66,Konkani,Amit Naik,Male,Goa,1,Unkahi Kahani,https://www.youtube.com/watch?v=PpEkRHkIWvY,2,2,1,sad
67,Konkani,Amit Naik,Male,Goa,2,Pedru Poder Jiklo,https://www.youtube.com/watch?v=iqQ1MjjVzLg,2,2,1,fear
68,Konkani,Amit Naik,Male,Goa,3,Lofde,https://www.youtube.com/watch?v=DalVTpaTRdw,2,2,1,netural
69,Konkani,Amit Naik,Male,Goa,4,Haav Jiktelo,https://www.youtube.com/watch?v=5RfIm88NT7A,2,2,1,angry
70,Konkani,Amit Naik,Male,Goa,5,Direct Chandrar,https://youtu.be/CZoGiyR5Mtc,2,2,1,happy
71,Konkani,Xavier Gomes,Male,Goa,1,Boddi,https://www.youtube.com/watch?v=eLt6HGVa0oE,2,66,1,sad
72,Konkani,Xavier Gomes,Male,Goa,2,Mutt Bhor Mati,https://www.youtube.com/watch?v=eVQxrT8hOlk,2,66,1,fear
73,Konkani,Xavier Gomes,Male,Goa,3,Fator,https://www.youtube.com/watch?v=JVXnlSwDmPY,2,66,1,netural
74,Konkani,Xavier Gomes,Male,Goa,4,Piso,https://www.youtube.com/watch?v=68_BY0ho_3M,2,66,1,angry
75,Konkani,Xavier Gomes,Male,Goa,5,Bhavacho Mog,https://www.youtube.com/watch?v=_Qcr3J8MYNY,2,66,1,happy
76,Konkani,Lorna Cordeiro,Female,Goa,1,Ugddas Yeta,https://www.youtube.com/watch?v=w2NccEDUVGQ,2,31,0,sad
77,Konkani,Lorna Cordeiro,Female,Goa,2,Goan,https://www.youtube.com/watch?v=ayTcLZt-PwM,2,31,0,fear
78,Konkani,Lorna Cordeiro,Female,Goa,3,Noxibak Roddtam,https://www.youtube.com/watch?v=d_pLxc0-RUs,2,31,0,netural
79,Konkani,Lorna Cordeiro,Female,Goa,4,Gomeche Police,https://www.youtube.com/watch?v=3CTRd93DRCs,2,31,0,angry
80,Konkani,Lorna Cordeiro,Female,Goa,5,Dennem,https://www.youtube.com/watch?v=0Ci2ksLZ_LE,2,31,0,happy
81,Bengali,Manna Dey,Male,West Bengal,1,Sabai To Sukhi Hote Chay,https://www.youtube.com/watch?v=fdyB76xEUlk,16,33,1,sad
82,Bengali,Manna Dey,Male,West Bengal,2,Khub Jante Ichchha Kare,https://www.youtube.com/watch?v=uYaVDIjZp1o,16,33,1,fear
83,Bengali,Manna Dey,Male,West Bengal,3,Coffee houser sei addata,https://www.youtube.com/watch?v=UEvny4Z4xJo,16,33,1,netural
84,Bengali,Manna Dey,Male,West Bengal,4,Jodi Kagoje Lekho Naam,https://www.youtube.com/watch?v=jIaIXjBqyjE,16,33,1,angry
85,Bengali,Manna Dey,Male,West Bengal,5,Ka Phonta Chokher Jal Phelechho,https://www.youtube.com/watch?v=vlbdRVFuB6I,16,33,1,happy
86,Bengali,Arijit Singh,Male,West Bengal,1,Tomake Chai,https://www.youtube.com/watch?v=1f18irP--O8,16,5,1,sad
87,Bengali,Arijit Singh,Male,West Bengal,2,Kichhu Kichhu Kotha,https://www.youtube.com/watch?v=so2HoeW9gPA,16,5,1,fear
88,Bengali,Arijit Singh,Male,West Bengal,3,Tomake Chuye Dilam ,https://www.youtube.com/watch?v=d7R14fHYooA,16,5,1,netural
89,Bengali,Arijit Singh,Male,West Bengal,4,Parbona,https://www.youtube.com/watch?v=5L4ZLPKSVlY,16,5,1,angry
90,Bengali,Arijit Singh,Male,West Bengal,5,Bojhena Shey Bojhena,https://www.youtube.com/watch?v=J2JQQm1h6xQ,16,5,1,happy
91,Bengali,Geeta Dutt,Female,West Bengal,1,Tumi Je Amar Ogo Tumi Je Amar,https://www.youtube.com/watch?v=xdoBOBg_U3Q,16,16,0,sad
92,Bengali,Geeta Dutt,Female,West Bengal,2,Ei Sundar Swarnali Sandhyay,https://www.youtube.com/watch?v=e-wTFB_M6k4,16,16,0,fear
93,Bengali,Geeta Dutt,Female,West Bengal,3,Nishiraat Banka Chand  Prithibi Amare Chai,https://www.youtube.com/watch?v=Kk1QO65wb94,16,16,0,netural
94,Bengali,Geeta Dutt,Female,West Bengal,4,Banshi Bujhi Sei Sure  Sathi Hara,https://www.youtube.com/watch?v=DcPPjoJZYg0,16,16,0,angry
95,Bengali,Geeta Dutt,Female,West Bengal,5,Ei Mayabi Tithi,https://www.youtube.com/watch?v=Yh-C37HKnI0,16,16,0,happy
96,Bengali,Shreya Ghoshal,Female,West Bengal,1,Mon Metechhe,https://www.youtube.com/watch?v=M8nj-lRbmoo,16,52,0,sad
97,Bengali,Shreya Ghoshal,Female,West Bengal,2,Isharay Mon Ki Bhore,https://www.youtube.com/watch?v=3fiIIU7WrL8,16,52,0,fear
98,Bengali,Shreya Ghoshal,Female,West Bengal,3,O Paakhi Ure aai,https://www.youtube.com/watch?v=g4DpufISTxg,16,52,0,netural
99,Bengali,Shreya Ghoshal,Female,West Bengal,4,Ei Mom Jochnai,https://www.youtube.com/watch?v=thNeWULDVLo,16,52,0,angry
100,Bengali,Shreya Ghoshal,Female,West Bengal,5,Nodir Jemon Jharna Ache,https://www.youtube.com/watch?v=ssr2ATkL8MM,16,52,0,happy
101,Oriya,Akshay Mohanty,Male,Odisha,1,Kabata Kholila Priye,https://www.youtube.com/watch?v=MkoLViiVmkk,13,0,1,sad
102,Oriya,Akshay Mohanty,Male,Odisha,2,Chithi Mora,https://www.youtube.com/watch?v=XTCfJX6Fiok,13,0,1,fear
103,Oriya,Akshay Mohanty,Male,Odisha,3,Theme song of Jajabara ,https://www.youtube.com/watch?v=JT8lu7MxVPk,13,0,1,netural
104,Oriya,Akshay Mohanty,Male,Odisha,4,Jhia Dekhili Tiniti,https://www.youtube.com/watch?v=0jWbsjGxREY,13,0,1,angry
105,Oriya,Akshay Mohanty,Male,Odisha,5,Hrudayara Ei Suntataku,https://www.youtube.com/watch?v=X0G_eqEjhW4,13,0,1,happy
106,Oriya,Bishnu Mohan Kabi,Male,Odisha,1,Mana Anumati Mage,https://www.youtube.com/watch?v=JwSqFOX39LQ,13,11,1,sad
107,Oriya,Bishnu Mohan Kabi,Male,Odisha,2,TATE CHANHIBAA RE,https://www.youtube.com/watch?v=FDNONhoQ7uI,13,11,1,fear
108,Oriya,Bishnu Mohan Kabi,Male,Odisha,3,Bandhu Sampark,https://www.youtube.com/watch?v=xgHMY-Cx4Qs,13,11,1,netural
109,Oriya,Bishnu Mohan Kabi,Male,Odisha,4,Palakare Mu Tate,https://www.youtube.com/watch?v=ikz6kpVg70s,13,11,1,angry
110,Oriya,Bishnu Mohan Kabi,Male,Odisha,5,Lakhye Papa Karichi Ei Mora Dui Hata,https://www.youtube.com/watch?v=aSdba6MjW_c,13,11,1,happy
111,Oriya,Ira Mohanty,Female,Odisha,1,Ramare Ramare,https://www.youtube.com/watch?v=eEUJpfLLxys,13,23,0,sad
112,Oriya,Ira Mohanty,Female,Odisha,2,O SAAJANNEW,https://www.youtube.com/watch?v=BazQXiG12EM,13,23,0,fear
113,Oriya,Ira Mohanty,Female,Odisha,3,Dhire Dhire Tu,https://www.youtube.com/watch?v=zisqJ40PrBo,13,23,0,netural
114,Oriya,Ira Mohanty,Female,Odisha,4,Tu Nothile,https://www.youtube.com/watch?v=npDA6ycirQo,13,23,0,angry
115,Oriya,Ira Mohanty,Female,Odisha,5,Tu Mo Akhira Tara,https://www.youtube.com/watch?v=Tt-WbqbTvxM,13,23,0,happy
116,Oriya,Tapu Mishra,Female,Odisha,1,Aakhi Ta Thila,https://www.youtube.com/watch?v=bvK7m0-2ZNI,13,60,0,sad
117,Oriya,Tapu Mishra,Female,Odisha,2,Kichi bata chali puni,https://www.youtube.com/watch?v=sGHHkOLnkYg,13,60,0,fear
118,Oriya,Tapu Mishra,Female,Odisha,3,Faguna Re Faguna,https://www.youtube.com/watch?v=dXimx-3YZYg,13,60,0,netural
119,Oriya,Tapu Mishra,Female,Odisha,4,Dheere Dheere,https://www.youtube.com/watch?v=MSBi-PaBWNo,13,60,0,angry
120,Oriya,Tapu Mishra,Female,Odisha,5,Tate Chuinbaku Icha  Hele Dara Laguchi,https://www.youtube.com/watch?v=1teHxCxdk-w,13,60,0,happy
121,Kashmiri,Rashid Jahangir,Male,Jammu and Kashmir,1,Tul Parde Royas,https://www.youtube.com/watch?v=uh5Kf1GaiDU,4,45,1,sad
122,Kashmiri,Rashid Jahangir,Male,Jammu and Kashmir,2,Waloo Maashok Myane,https://www.youtube.com/watch?v=Jg7Qu9kLyRY,4,45,1,fear
123,Kashmiri,Rashid Jahangir,Male,Jammu and Kashmir,3,Ya Mustafa,https://www.youtube.com/watch?v=afA1Ozw_VRg,4,45,1,netural
124,Kashmiri,Rashid Jahangir,Male,Jammu and Kashmir,4,Gasti Val Val Waavi,https://www.youtube.com/watch?v=JLAiAiAya1I,4,45,1,angry
125,Kashmiri,Rashid Jahangir,Male,Jammu and Kashmir,5,Ha yaari mokhti haari gandtho bi hatay lo,https://www.youtube.com/watch?v=KzOtqmUaibc,4,45,1,happy
126,Kashmiri,Waheed Jeelani,Male,Jammu and Kashmir,1,SHAAM GOV,https://www.youtube.com/watch?v=XY0EVuwV0qM,4,64,1,sad
127,Kashmiri,Waheed Jeelani,Male,Jammu and Kashmir,2,Lolkis Safras,https://www.youtube.com/watch?v=eH28BGfI3sk,4,64,1,fear
128,Kashmiri,Waheed Jeelani,Male,Jammu and Kashmir,3,Doye Khair Karus Puot Aalov,https://www.youtube.com/watch?v=DNouaJkNU_A,4,64,1,netural
129,Kashmiri,Waheed Jeelani,Male,Jammu and Kashmir,4,Sochh Kraal,https://www.youtube.com/watch?v=i-u1JenknHU,4,64,1,angry
130,Kashmiri,Waheed Jeelani,Male,Jammu and Kashmir,5,Mouji Kasheer,https://www.youtube.com/watch?v=uDhye_PK_J0,4,64,1,happy
131,Kashmiri,Raj Begum,Female,Jammu and Kashmir,1,DDK,https://www.youtube.com/watch?v=IyNrYhQfz0g,4,42,0,sad
132,Kashmiri,Raj Begum,Female,Jammu and Kashmir,2,Cze Kar Yaad Pemai,https://www.youtube.com/watch?v=QA7aRJWBCk4,4,42,0,fear
133,Kashmiri,Raj Begum,Female,Jammu and Kashmir,3,Vesiye Gulan aamay bahaar,https://www.youtube.com/watch?v=0Xf10V0MSQQ,4,42,0,netural
134,Kashmiri,Raj Begum,Female,Jammu and Kashmir,4,Dill Tchooran Dill hai,https://www.youtube.com/watch?v=4f-R2JkHHe8,4,42,0,angry
135,Kashmiri,Raj Begum,Female,Jammu and Kashmir,5,A Rich Tribute To Melodious Voice Of Kashmir,https://www.youtube.com/watch?v=fDMbdOu9U9A,4,42,0,happy
136,Kashmiri,Shameema Dev Azad,Female,Jammu and Kashmir,1,Kashmiri song by shameema azad,https://www.youtube.com/watch?v=ylQM_QT5wJE,4,51,0,sad
137,Kashmiri,Shameema Dev Azad,Female,Jammu and Kashmir,2,CHE YEVAAN ROSHE CHUKH NATE,https://www.youtube.com/watch?v=hut6K2G2IFE,4,51,0,fear
138,Kashmiri,Shameema Dev Azad,Female,Jammu and Kashmir,3,Yeli Yaad Pewaan Panun,https://www.youtube.com/watch?v=I1e665RPDIA,4,51,0,netural
139,Kashmiri,Shameema Dev Azad,Female,Jammu and Kashmir,4,BAH KHUDA SAARIE KHUDAYIE,https://www.youtube.com/watch?v=mMaaqHi2Xyw,4,51,0,angry
140,Kashmiri,Shameema Dev Azad,Female,Jammu and Kashmir,5,VESIYE NARAY,https://www.youtube.com/watch?v=KsgMZDp1DiA,4,51,0,happy
141,Assamese,Bhupen Hazarika,Male,Assam,1,Manuhe Manuhor Babe,https://www.youtube.com/watch?v=tgTCbTFUrf4,1,10,1,sad
142,Assamese,Bhupen Hazarika,Male,Assam,2,SANKARE HISE  CHINAKI GEET,https://www.youtube.com/watch?v=IBETthP-l1M,1,10,1,fear
143,Assamese,Bhupen Hazarika,Male,Assam,3,Bistirna Dupare,https://www.youtube.com/watch?v=XGeccjWtWnc,1,10,1,netural
144,Assamese,Bhupen Hazarika,Male,Assam,4,Aai tuk kihere pujime,https://www.youtube.com/watch?v=TUYYE134aic,1,10,1,angry
145,Assamese,Bhupen Hazarika,Male,Assam,5,Moi Jetai Ei Jibonor,https://www.youtube.com/watch?v=Ng8c8iz5KQc,1,10,1,happy
146,Assamese,Zubeen Garg,Male,Assam,1,SILAA,https://www.youtube.com/watch?v=WH8YIOKAgEc,1,67,1,sad
147,Assamese,Zubeen Garg,Male,Assam,2,Pakhi Pakhi Aei Mon,https://www.youtube.com/watch?v=R2Q96UOMYvI,1,67,1,fear
148,Assamese,Zubeen Garg,Male,Assam,3,Nesau Tumak Ebaru,https://www.youtube.com/watch?v=7D3xgJB55dM,1,67,1,netural
149,Assamese,Zubeen Garg,Male,Assam,4,Atori Atori Thakileu Tumi,https://www.youtube.com/watch?v=zsLtNFEq_9w,1,67,1,angry
150,Assamese,Zubeen Garg,Male,Assam,5,Aei Mayar Dharat,https://www.youtube.com/watch?v=45ZPFwsfeu0,1,67,1,happy
151,Assamese,Dipali Barthakur,Female,Assam,1,Zondhane Jonalite,https://www.youtube.com/watch?v=i7vGQQlSpoI,1,14,0,sad
152,Assamese,Dipali Barthakur,Female,Assam,2,Xonor Kharu Nelage Mok,https://www.youtube.com/watch?v=_OZXtUsGkBE,1,14,0,fear
153,Assamese,Dipali Barthakur,Female,Assam,3,Bondhu Xomoi Pale Aamar Phale,https://www.youtube.com/watch?v=QU9EWaVSoB0,1,14,0,netural
154,Assamese,Dipali Barthakur,Female,Assam,4,O Senai Moi Jao Dei,https://www.youtube.com/watch?v=gOAmNYv0TUI,1,14,0,angry
155,Assamese,Dipali Barthakur,Female,Assam,5,Senai Moi jau,https://www.youtube.com/watch?v=V7Qv637nLrI,1,14,0,happy
156,Assamese,Tarali Sarma,Female,Assam,1,AHIBA TUMI,https://www.youtube.com/watch?v=CVCXwf8vDaI,1,61,0,sad
157,Assamese,Tarali Sarma,Female,Assam,2,Henguliya Xopune,https://www.youtube.com/watch?v=pg5jXsCgEyo,1,61,0,fear
158,Assamese,Tarali Sarma,Female,Assam,3,Tomar Babe,https://www.youtube.com/watch?v=yOPkI3eTwUk,1,61,0,netural
159,Assamese,Tarali Sarma,Female,Assam,4,Aaghunor Xopun Khedi,https://www.youtube.com/watch?v=hG9ytcfaM0U,1,61,0,angry
160,Assamese,Tarali Sarma,Female,Assam,5,Tumi Aahibaane,https://www.youtube.com/watch?v=lCas9jBQivk,1,61,0,happy
161,Nepali,Narayan Gopal,Male,Nepal,1,Mero Aankha Lai Rakhne,https://www.youtube.com/watch?v=qyx8zz-EQCs,11,37,1,sad
162,Nepali,Narayan Gopal,Male,Nepal,2,Kehi Mitho Baat Gara,https://www.youtube.com/watch?v=LFR4eMQzUr4,11,37,1,fear
163,Nepali,Narayan Gopal,Male,Nepal,3,Malai Nasodha,https://www.youtube.com/watch?v=Pkj6YFJFI8U,11,37,1,netural
164,Nepali,Narayan Gopal,Male,Nepal,4,Jun Phool Maile,https://www.youtube.com/watch?v=JoC1ZCbmpMs,11,37,1,angry
165,Nepali,Narayan Gopal,Male,Nepal,5,Priyasi ka yaad haru,https://www.youtube.com/watch?v=_X6dG9WRHeQ,11,37,1,happy
166,Nepali,Raju Lama,Male,Nepal,1,Timilai Dekhera,https://www.youtube.com/watch?v=OlYoCjUGPJ4,11,44,1,sad
167,Nepali,Raju Lama,Male,Nepal,2,SAILUNGE MELA,https://www.youtube.com/watch?v=Mu_hFDykAtg,11,44,1,fear
168,Nepali,Raju Lama,Male,Nepal,3,Mero Nepal,https://www.youtube.com/watch?v=Q9zdnFjmdL8,11,44,1,netural
169,Nepali,Raju Lama,Male,Nepal,4,SHERPINI AAJI,https://www.youtube.com/watch?v=mpDIMUHnvrk,11,44,1,angry
170,Nepali,Raju Lama,Male,Nepal,5,BISTARAI BISTARAI,https://www.youtube.com/watch?v=3jV8y1B9UPM,11,44,1,happy
171,Nepali,Aruna Lama,Female,Nepal,1,POHOR SAAL KHUSI,https://www.youtube.com/watch?v=8uIaRZrB6Jk,11,6,0,sad
172,Nepali,Aruna Lama,Female,Nepal,2,Eklai Basda,https://www.youtube.com/watch?v=qJQ8Wxc0Aps,11,6,0,fear
173,Nepali,Aruna Lama,Female,Nepal,3,Eh Kancha Malai Sunko Tara,https://www.youtube.com/watch?v=7pOVG4o7914,11,6,0,netural
174,Nepali,Aruna Lama,Female,Nepal,4,Himal Sari,https://www.youtube.com/watch?v=xiTV_ve92xw,11,6,0,angry
175,Nepali,Aruna Lama,Female,Nepal,5,Ma Ta Chupchap,https://www.youtube.com/watch?v=rIgou_By3fw,11,6,0,happy
176,Nepali,Anju Panta,Female,Nepal,1,Maile Timilai Chahera,https://www.youtube.com/watch?v=2TwUZ26k6y0,11,3,0,sad
177,Nepali,Anju Panta,Female,Nepal,2,Na Birse Timilai Na Paye Timilai,https://www.youtube.com/watch?v=dWv2ZytVwDI,11,3,0,fear
178,Nepali,Anju Panta,Female,Nepal,3,Malai Basuri Le,https://www.youtube.com/watch?v=RUZZyfm8-mo,11,3,0,netural
179,Nepali,Anju Panta,Female,Nepal,4,Badaliau Timi,https://www.youtube.com/watch?v=wJxkdE7rgr0,11,3,0,angry
180,Nepali,Anju Panta,Female,Nepal,5,Timilai Maya Garchhu,https://www.youtube.com/watch?v=98lJO0r6YNQ,11,3,0,happy
